Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters,fast_mimic
64,10.0,16315,0.6044700749916956,"[0.0, 0.0, 0.0, 1.0]",False,250,0.5,512,True
128,10.0,32379,1.1671666110050865,"[0.0, 0.0, 0.0, 1.0]",False,250,0.5,512,True
256,10.0,64507,2.30091737996554,"[0.0, 0.0, 0.0, 1.0]",False,250,0.5,512,True
512,10.0,126002,4.459969234012533,"[0.0, 0.0, 0.0, 1.0]",False,250,0.5,512,True
0,0.0,250,0.00508073897799477,"[0, 0, 1, 1]",False,250,0.75,512,True
1,10.0,502,0.020712933968752623,"[0.0, 0.0, 0.0, 1.0]",False,250,0.75,512,True
2,10.0,753,0.03634919296018779,"[0.0, 0.0, 0.0, 1.0]",False,250,0.75,512,True
4,10.0,1255,0.06104573397897184,"[0.0, 0.0, 0.0, 1.0]",False,250,0.75,512,True
8,10.0,2259,0.10373251495184377,"[0.0, 0.0, 0.0, 1.0]",False,250,0.75,512,True
16,10.0,4267,0.18230647896416485,"[0.0, 0.0, 0.0, 1.0]",False,250,0.75,512,True
32,10.0,8283,0.33543864195235074,"[0.0, 0.0, 0.0, 1.0]",False,250,0.75,512,True
64,10.0,16315,0.6322371339774691,"[0.0, 0.0, 0.0, 1.0]",False,250,0.75,512,True
128,10.0,32379,1.2058892169734463,"[0.0, 0.0, 0.0, 1.0]",False,250,0.75,512,True
256,10.0,64507,2.310867578955367,"[0.0, 0.0, 0.0, 1.0]",False,250,0.75,512,True
512,10.0,126002,4.356201383983716,"[0.0, 0.0, 0.0, 1.0]",False,250,0.75,512,True
