Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
1,2.5,4022,2.894354491989361,"[1, 0, 0, 0]",10,512,8
2,7.5,4024,2.9059697490010876,"[1, 1, 0, 0]",10,512,8
4,7.5,4026,2.9188144099898636,"[1, 1, 0, 0]",10,512,8
8,7.5,4030,2.934094158001244,"[1, 1, 0, 0]",10,512,8
16,7.5,4038,2.954202193999663,"[1, 1, 0, 0]",10,512,8
32,7.5,4054,2.9818114819936454,"[1, 1, 0, 0]",10,512,8
64,7.5,4086,3.0266454969823826,"[1, 1, 0, 0]",10,512,8
128,7.5,4150,3.1069883719901554,"[1, 1, 0, 0]",10,512,8
256,7.5,4278,3.2656696299964096,"[1, 1, 0, 0]",10,512,8
512,7.5,4524,3.574966444983147,"[1, 1, 0, 0]",10,512,8
0,0.0,4524,3.586588373989798,"[1, 0, 0, 1]",10,512,9
1,10.0,4526,3.5989304120012093,"[0, 0, 0, 1]",10,512,9
2,10.0,4527,3.611524556996301,"[0, 0, 0, 1]",10,512,9
4,10.0,4529,3.625422440993134,"[0, 0, 0, 1]",10,512,9
8,10.0,4533,3.6420961869880557,"[0, 0, 0, 1]",10,512,9
16,10.0,4541,3.6634278779965825,"[0, 0, 0, 1]",10,512,9
32,10.0,4557,3.6951676689786837,"[0, 0, 0, 1]",10,512,9
64,10.0,4589,3.7461155299970414,"[0, 0, 0, 1]",10,512,9
128,10.0,4653,3.8468353299831506,"[0, 0, 0, 1]",10,512,9
256,10.0,4781,4.022229961992707,"[0, 0, 0, 1]",10,512,9
512,10.0,5026,4.362868072988931,"[0, 0, 0, 1]",10,512,9
0,0.0,5026,4.375404883990996,"[0, 0, 1, 1]",10,512,10
1,0.0,5027,4.38902516500093,"[0, 0, 1, 1]",10,512,10
2,0.0,5028,4.4027775099966675,"[0, 0, 1, 1]",10,512,10
4,10.0,5032,4.417647771973861,"[1, 0, 1, 0]",10,512,10
8,10.0,5036,4.435165192000568,"[1, 0, 1, 0]",10,512,10
16,10.0,5044,4.459097863000352,"[1, 0, 1, 0]",10,512,10
32,10.0,5060,4.492302844999358,"[1, 0, 1, 0]",10,512,10
64,10.0,5092,4.547142855997663,"[1, 0, 1, 0]",10,512,10
128,10.0,5156,4.646728465973865,"[1, 0, 1, 0]",10,512,10
256,10.0,5284,4.842520199978026,"[1, 0, 1, 0]",10,512,10
512,10.0,5532,5.223111049999716,"[1, 0, 1, 0]",10,512,10
0,0.0,0,9.677000343799591e-05,"[0, 1, 1, 0]",15,512,0
1,5.0,2,0.012831405008910224,"[0, 1, 0, 0]",15,512,0
2,5.0,3,0.025730332999955863,"[0, 1, 0, 0]",15,512,0
4,5.0,5,0.03843291298835538,"[0, 1, 0, 0]",15,512,0
8,7.5,10,0.05150460099685006,"[1, 1, 0, 0]",15,512,0
16,7.5,18,0.06484167199232616,"[1, 1, 0, 0]",15,512,0
32,7.5,34,0.07796581400907598,"[1, 1, 0, 0]",15,512,0
64,7.5,66,0.09183599599055015,"[1, 1, 0, 0]",15,512,0
128,7.5,130,0.10773021201021038,"[1, 1, 0, 0]",15,512,0
256,7.5,258,0.13068927900167182,"[1, 1, 0, 0]",15,512,0
512,7.5,507,0.1750117329938803,"[1, 1, 0, 0]",15,512,0
0,0.0,507,0.18835680800839327,"[1, 0, 1, 1]",15,512,1
1,0.0,508,0.20145757199497893,"[1, 0, 1, 1]",15,512,1
2,0.0,509,0.21471536401077174,"[1, 0, 1, 1]",15,512,1
4,0.0,511,0.22813769298954867,"[1, 0, 1, 1]",15,512,1
8,10.0,516,0.24172153198742308,"[1, 0, 1, 0]",15,512,1
16,10.0,524,0.2560161169967614,"[1, 0, 1, 0]",15,512,1
32,10.0,540,0.27193983100005426,"[1, 0, 1, 0]",15,512,1
64,10.0,572,0.2903437819913961,"[1, 0, 1, 0]",15,512,1
128,10.0,636,0.3153154560131952,"[1, 0, 1, 0]",15,512,1
256,10.0,764,0.3556068530015182,"[1, 0, 1, 0]",15,512,1
512,10.0,1013,0.4332426479959395,"[1, 0, 1, 0]",15,512,1
0,0.0,1013,0.4470660939987283,"[1, 1, 1, 1]",15,512,2
1,0.0,1014,0.46098192100180313,"[1, 1, 1, 1]",15,512,2
2,0.0,1015,0.47486351401312277,"[1, 1, 1, 1]",15,512,2
4,0.0,1017,0.48905686000944115,"[1, 1, 1, 1]",15,512,2
8,0.0,1021,0.5040866500057746,"[1, 1, 1, 1]",15,512,2
16,0.0,1029,0.5203999239893164,"[1, 1, 1, 1]",15,512,2
